"TIME","GEO","UNIT","HAZARD","WASTE","WST_OPER","Value","Flag and Footnotes"
"2004","Czechia","Tonne","Non-hazardous","Total waste","Disposal - landfill and other (D1-D7, D12)","5,806,178",""
"2004","Czechia","Tonne","Non-hazardous","Total waste","Disposal - landfill (D1, D5, D12)","5,711,720",""
"2004","Czechia","Tonne","Non-hazardous","Total waste","Disposal - incineration (D10)","9,912",""
"2004","Czechia","Tonne","Non-hazardous","Total waste","Disposal - other (D2-D4, D6-D7)","94,458",""
"2004","Czechia","Tonne","Non-hazardous","Total waste","Recovery - energy recovery (R1)","758,816",""
"2004","Czechia","Tonne","Non-hazardous","Total waste","Recovery - recycling and backfilling (R2-R11)","15,297,628",""
"2004","Czechia","Tonne","Non-hazardous","Total waste","Recovery - recycling",":",""
"2004","Czechia","Tonne","Non-hazardous","Total waste","Recovery - backfilling",":",""
"2004","Denmark","Tonne","Hazardous and non-hazardous - Total","Total waste","Waste treatment","12,892,738",""
"2004","Denmark","Tonne","Hazardous and non-hazardous - Total","Total waste","Disposal - landfill and other (D1-D7, D12)","962,655",""
"2004","Denmark","Tonne","Hazardous and non-hazardous - Total","Total waste","Disposal - landfill (D1, D5, D12)","962,655",""
"2004","Denmark","Tonne","Hazardous and non-hazardous - Total","Total waste","Disposal - incineration (D10)","3,168,228",""
"2004","Denmark","Tonne","Hazardous and non-hazardous - Total","Total waste","Disposal - other (D2-D4, D6-D7)",":",""
"2004","Denmark","Tonne","Hazardous and non-hazardous - Total","Total waste","Recovery - energy recovery (R1)","0",""
"2004","Denmark","Tonne","Hazardous and non-hazardous - Total","Total waste","Recovery - recycling and backfilling (R2-R11)","8,761,855",""
"2004","Denmark","Tonne","Hazardous and non-hazardous - Total","Total waste","Recovery - recycling",":",""
"2004","Denmark","Tonne","Hazardous and non-hazardous - Total","Total waste","Recovery - backfilling",":",""
"2004","Denmark","Tonne","Hazardous","Total waste","Waste treatment","338,334",""
"2004","Denmark","Tonne","Hazardous","Total waste","Disposal - landfill and other (D1-D7, D12)","115,162",""
"2004","Denmark","Tonne","Hazardous","Total waste","Disposal - landfill (D1, D5, D12)","115,162",""
"2004","Denmark","Tonne","Hazardous","Total waste","Disposal - incineration (D10)","93,137",""
"2004","Denmark","Tonne","Hazardous","Total waste","Disposal - other (D2-D4, D6-D7)",":",""
"2004","Denmark","Tonne","Hazardous","Total waste","Recovery - energy recovery (R1)","0",""
"2004","Denmark","Tonne","Hazardous","Total waste","Recovery - recycling and backfilling (R2-R11)","130,035",""
"2004","Denmark","Tonne","Hazardous","Total waste","Recovery - recycling",":",""
"2004","Denmark","Tonne","Hazardous","Total waste","Recovery - backfilling",":",""
"2004","Denmark","Tonne","Non-hazardous","Total waste","Waste treatment","12,554,404",""
"2004","Denmark","Tonne","Non-hazardous","Total waste","Disposal - landfill and other (D1-D7, D12)","847,493",""
"2004","Denmark","Tonne","Non-hazardous","Total waste","Disposal - landfill (D1, D5, D12)","847,493",""
"2004","Denmark","Tonne","Non-hazardous","Total waste","Disposal - incineration (D10)","3,075,091",""
"2004","Denmark","Tonne","Non-hazardous","Total waste","Disposal - other (D2-D4, D6-D7)",":",""
"2004","Denmark","Tonne","Non-hazardous","Total waste","Recovery - energy recovery (R1)","0",""
"2004","Denmark","Tonne","Non-hazardous","Total waste","Recovery - recycling and backfilling (R2-R11)","8,631,820",""
"2004","Denmark","Tonne","Non-hazardous","Total waste","Recovery - recycling",":",""
"2004","Denmark","Tonne","Non-hazardous","Total waste","Recovery - backfilling",":",""
"2004","Germany (until 1990 former territory of the FRG)","Tonne","Hazardous and non-hazardous - Total","Total waste","Waste treatment","346,001,167",""
"2004","Germany (until 1990 former territory of the FRG)","Tonne","Hazardous and non-hazardous - Total","Total waste","Disposal - landfill and other (D1-D7, D12)","106,362,502",""
"2004","Germany (until 1990 former territory of the FRG)","Tonne","Hazardous and non-hazardous - Total","Total waste","Disposal - landfill (D1, D5, D12)","105,470,406",""
"2004","Germany (until 1990 former territory of the FRG)","Tonne","Hazardous and non-hazardous - Total","Total waste","Disposal - incineration (D10)","14,529,586",""
"2004","Germany (until 1990 former territory of the FRG)","Tonne","Hazardous and non-hazardous - Total","Total waste","Disposal - other (D2-D4, D6-D7)","892,096",""
"2004","Germany (until 1990 former territory of the FRG)","Tonne","Hazardous and non-hazardous - Total","Total waste","Recovery - energy recovery (R1)","11,391,797",""
"2004","Germany (until 1990 former territory of the FRG)","Tonne","Hazardous and non-hazardous - Total","Total waste","Recovery - recycling and backfilling (R2-R11)","213,717,282",""
"2004","Germany (until 1990 former territory of the FRG)","Tonne","Hazardous and non-hazardous - Total","Total waste","Recovery - recycling",":",""
